38785
Democratic Unionist Party 1,16.0
Alliance Party,15.0
Democratic Unionist Party 2,14.8
Ulster Unionist Party 1,13.7
Democratic Unionist Party 3,9.1
Social Democratic and Labour Party,7.9
Ulster Unionist Party 2,6.3
Independent 1,4.2
Independent 2,3.8
Traditional Unionist Voice,3.4
Sinn Fein,2.9
Green Party,2.4
NI Conservatives,0.5
