52263
Democratic Unionist Party 1,16.2
Sinn Fein 1,15.3
Sinn Fein 2,14.9
Democratic Unionist Party 2,13.6
Sinn Fein 3,12.0
Ulster Unionist Party,11.6
Social Democratic and Labour Party,9.8
Alliance Party,2.7
Traditional Unionist Voice,1.5
Cross-Community Labour Alternative,1.2
Green Party,1.1
NI Conservatives,0.1
