36574
Sinn Fein 1,15.6
Democratic Unionist Party 1,12.6
Democratic Unionist Party 2,11.2
Democratic Unionist Party 3,11.2
Sinn Fein 2,11.0
Social Democratic and Labour Party,10.6
Alliance Party,7.0
Ulster Unionist Party,5.4
People Before Profit Alliance,3.5
Progressive Unionist Party,3.4
Green Party,2.2
UK Independence Party,2.1
Traditional Unionist Voice,1.8
Workers Party,1.3
Independent 1,0.7
NI Labour Representation Committee,0.3
Independent 2,0.2
Northern Ireland First,0.1
