47715
Democratic Unionist Party,16.7
Sinn Fein 1,14.3
Sinn Fein 2,14.3
Ulster Unionist Party 1,10.3
Sinn Fein 3,12.3
Social Democratic and Labour Party 1,10.0
Social Democratic and Labour Party 2,8.2
Ulster Unionist Party 2,3.9
Independent 1,3.5
Cannabis Is Safer Than Alcohol,2.2
Independent 2,2.0
Alliance Party,1.0
UK Independence Party,0.7
Green Party,0.7
