36268
People Before Profit Alliance,22.9
Sinn Fein 1,13.1
Sinn Fein 2,9.7
Sinn Fein 3,11.1
Sinn Fein 4,12.1
Social Democratic and Labour Party,7.3
Democratic Unionist Party,10.4
Sinn Fein 5,8.4
Workers Party,1.5
Green Party,0.9
Ulster Unionist Party,1.8
Alliance Party,0.8
