Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Independent,NaN,NaN,0.06950,NaN,NaN,0.00188,NaN,0.11149,NaN,NaN,NaN,NaN,0.18507,NaN,0.17742,0.30555,NaN,NaN,NaN,0.01198,NaN,0.13712
Social Democratic and Labour Party,NaN,NaN,NaN,NaN,NaN,0.01205,0.06011,0.02487,NaN,NaN,NaN,NaN,0.04183,NaN,0.01583,0.73651,NaN,NaN,NaN,0.00887,NaN,0.09993
Traditional Unionist Voice,NaN,NaN,NaN,NaN,NaN,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00141,0.00283,NaN,0.82854,NaN,0.03062,NaN,0.01649
Democratic Unionist Party,0.00887,NaN,0.00221,0.00031,NaN,0.75627,0.00634,0.01045,0.00084,0.00293,0.00107,NaN,NaN,0.02453,0.00152,0.00486,NaN,0.01747,0.02427,0.11667,NaN,0.02140
Sinn Fein,0.02331,NaN,NaN,NaN,NaN,0.00143,0.00534,0.01197,NaN,NaN,0.00081,0.00000,0.01678,0.00065,0.84354,0.06450,NaN,0.00113,0.00049,0.00188,0.00566,0.02252
Ulster Unionist Party,0.04687,NaN,NaN,NaN,NaN,0.11184,0.02227,0.01630,NaN,0.02290,NaN,NaN,NaN,0.01698,0.00375,0.01949,NaN,0.04346,0.01457,0.60996,NaN,0.07162
Alliance Party,0.63834,NaN,NaN,NaN,NaN,0.01561,0.06700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07145,0.08718,NaN,NaN,0.01252,0.02340,NaN,0.08450
